Materials-ID,Chemical-Fomula,4c-site,4a-site,4b-site
2894,ScSnAu,Au,Sc,Sn
3161,LiAlSi,Si,Li,Al
3432,ScNiSb,Ni,Sc,Sb
3462,TmSnAu,Au,Tm,Sn
3522,MgCuSb,Cu,Mg,Sb
3716,TbNiSb,Ni,Tb,Sb
4025,TmNiSb,Ni,Tm,Sb
4174,HoNiSb,Ni,Ho,Sb
4262,BeAlB,B,Be,Al
4510,DyNiSb,Ni,Dy,Sb
4964,YSbPt,Pt,Y,Sb
5177,LuSnAu,Au,Lu,Sn
5640,ErSnAu,Au,Er,Sn
5920,LiAlGe,Ge,Li,Al
5967,TiCoSb,Co,Ti,Sb
7173,ScSbPt,Pt,Sc,Sb
7575,LiZnN,N,Li,Zn
9124,LiZnAs,As,Li,Zn
9437,NbFeSb,Fe,Nb,Sb
10194,LuSbPt,Pt,Lu,Sb
10687,LiCdP,P,Li,Cd
11242,DyPbAu,Au,Dy,Pb
11520,YNiSb,Ni,Y,Sb
11836,ErSbPd,Pd,Er,Sb
11839,GdSbPt,Pt,Gd,Sb
11869,HfSnPd,Pd,Hf,Sn
12558,LiMgAs,As,Li,Mg
13308,HoGeAu,Au,Ho,Ge
16313,TbSbPt,Pt,Tb,Sb
16314,TmSbPt,Pt,Tm,Sb
16327,DySbPt,Pt,Dy,Sb
16329,ErSbPt,Pt,Er,Sb
16376,HoSbPt,Pt,Ho,Sb
19886,ThSnPt,Pt,Th,Sn
20185,LuNiSb,Ni,Lu,Sb
924129,ZrNiSn,Ni,Zr,Sn
924130,TiNiSn,Ni,Ti,Sn
961646,TiTeOs,Os,Ti,Te
961649,ZrFeTe,Fe,Zr,Te
961653,FeSiW,Fe,Si,W
961657,YNiP,Ni,Y,P
961659,TiSiPd,Pd,Ti,Si
961660,TiFeSe,Fe,Ti,Se
961661,ZrSiPd,Pd,Zr,Si
961665,MgScGa,Ga,Mg,Sc
961673,TiFeTe,Fe,Ti,Te
961675,ScNiP,Ni,Sc,P
961678,ScCoTe,Co,Sc,Te
961682,TiSnPd,Pd,Ti,Sn
961684,LiCaAs,As,Li,Ca
961685,NaCaAs,As,Na,Ca
961687,ZrSnPd,Pd,Zr,Sn
961693,ZrInAu,Au,Zr,In
961697,ScGeAu,Au,Sc,Ge
