Chemical-Fomula,4c-site,4a-site,4b-site,Materials-ID
ScSnAu,Au,Sc,Sn,mp-2894
LiAlSi,Si,Li,Al,mp-3161
ScNiSb,Ni,Sc,Sb,mp-3432
TmSnAu,Au,Tm,Sn,mp-3462
MgCuSb,Cu,Mg,Sb,mp-3522
TbNiSb,Ni,Tb,Sb,mp-3716
TmNiSb,Ni,Tm,Sb,mp-4025
HoNiSb,Ni,Ho,Sb,mp-4174
BeAlB,B,Be,Al,mp-4262
DyNiSb,Ni,Dy,Sb,mp-4510
YSbPt,Pt,Y,Sb,mp-4964
LuSnAu,Au,Lu,Sn,mp-5177
ErSnAu,Au,Er,Sn,mp-5640
LiAlGe,Ge,Li,Al,mp-5920
TiCoSb,Co,Ti,Sb,mp-5967
ScSbPt,Pt,Sc,Sb,mp-7173
LiZnN,N,Li,Zn,mp-7575
LiZnAs,As,Li,Zn,mp-9124
NbFeSb,Fe,Nb,Sb,mp-9437
LuSbPt,Pt,Lu,Sb,mp-10194
LiCdP,P,Li,Cd,mp-10687
DyPbAu,Au,Dy,Pb,mp-11242
YNiSb,Ni,Y,Sb,mp-11520
ErSbPd,Pd,Er,Sb,mp-11836
GdSbPt,Pt,Gd,Sb,mp-11839
HfSnPd,Pd,Hf,Sn,mp-11869
LiMgAs,As,Li,Mg,mp-12558
HoGeAu,Au,Ho,Ge,mp-13308
TbSbPt,Pt,Tb,Sb,mp-16313
TmSbPt,Pt,Tm,Sb,mp-16314
DySbPt,Pt,Dy,Sb,mp-16327
ErSbPt,Pt,Er,Sb,mp-16329
HoSbPt,Pt,Ho,Sb,mp-16376
ThSnPt,Pt,Th,Sn,mp-19886
LuNiSb,Ni,Lu,Sb,mp-20185
ZrNiSn,Ni,Zr,Sn,mp-924129
TiNiSn,Ni,Ti,Sn,mp-924130
TiTeOs,Os,Ti,Te,mp-961646
ZrFeTe,Fe,Zr,Te,mp-961649
FeSiW,Fe,Si,W,mp-961653
YNiP,Ni,Y,P,mp-961657
TiSiPd,Pd,Ti,Si,mp-961659
TiFeSe,Fe,Ti,Se,mp-961660
ZrSiPd,Pd,Zr,Si,mp-961661
MgScGa,Ga,Mg,Sc,mp-961665
TiFeTe,Fe,Ti,Te,mp-961673
ScNiP,Ni,Sc,P,mp-961675
ScCoTe,Co,Sc,Te,mp-961678
TiSnPd,Pd,Ti,Sn,mp-961682
LiCaAs,As,Li,Ca,mp-961684
NaCaAs,As,Na,Ca,mp-961685
ZrSnPd,Pd,Zr,Sn,mp-961687
ZrInAu,Au,Zr,In,mp-961693
ScGeAu,Au,Sc,Ge,mp-961697
LiZnP,P,Li,Zn,mp-961698
TiSiPt,Pt,Ti,Si,mp-961706
ZrSiPt,Pt,Zr,Si,mp-961711
ZrSnPt,Pt,Zr,Sn,mp-961713
BaNaSb,Sb,Ba,Na,mp-961774
LaMgTl,Tl,La,Mg,mp-962063
CaMgSn,Sn,Ca,Mg,mp-962068
LiAgTe,Te,Li,Ag,mp-962069
CaCdSi,Si,Ca,Cd,mp-962078
YBiPd,Pd,Y,Bi,mp-1008624
TiGePt,Pt,Ti,Ge,mp-1008680
NdBiPd,Pd,Nd,Bi,mp-1008858
LiCdAs,As,Li,Cd,mp-1009006
HoBiPd,Pd,Ho,Bi,mp-1009132
DyBiPd,Pd,Dy,Bi,mp-1009543
TmSbPd,Pd,Tm,Sb,mp-1018118
LiCdAs,As,Li,Cd,mp-1018135
HoNiBi,Ni,Ho,Bi,mp-1018139
MnGaPt,Pt,Mn,Ga,mp-20269
GdPbAu,Au,Gd,Pb,mp-20415
GdSnAu,Au,Gd,Sn,mp-20514
TiNiSb,Ni,Ti,Sb,mp-20952
ErNiSb,Ni,Er,Sb,mp-21272
UNiSn,Ni,U,Sn,mp-21425
ThNiSn,Ni,Th,Sn,mp-22786
ErPbAu,Au,Er,Pb,mp-30377
HoPbAu,Au,Ho,Pb,mp-30389
HoSnAu,Au,Ho,Sn,mp-30390
TbPbAu,Au,Tb,Pb,mp-30413
DyBiPt,Pt,Dy,Bi,mp-30453
ErBiPt,Pt,Er,Bi,mp-30454
HoBiPt,Pt,Ho,Bi,mp-30455
LuNiBi,Ni,Lu,Bi,mp-30457
ScNiBi,Ni,Sc,Bi,mp-30459
YNiBi,Ni,Y,Bi,mp-30460
TiSnPt,Pt,Ti,Sn,mp-30847
USnPt,Pt,U,Sn,mp-30848
ZrCoBi,Co,Zr,Bi,mp-31451
TaSbRu,Ru,Ta,Sb,mp-31454
VSbRu,Ru,V,Sb,mp-31455
ZrSbRu,Ru,Zr,Sb,mp-31457
LiMgP,P,Li,Mg,mp-36111
NbSbRu,Ru,Nb,Sb,mp-505297
HoSbPd,Pd,Ho,Sb,mp-567418
GdNiBi,Ni,Gd,Bi,mp-567422
VFeSb,Fe,V,Sb,mp-567636
TmNiBi,Ni,Tm,Bi,mp-568269
GdNiSb,Ni,Gd,Sb,mp-569197
ScSbPd,Pd,Sc,Sb,mp-569779
LiMgBi,Bi,Li,Mg,mp-570213
GdBiPt,Pt,Gd,Bi,mp-620271
YPbAu,Au,Y,Pb,mp-621592
HfNiSn,Ni,Hf,Sn,mp-924128
GdBiPd,Pd,Gd,Bi,mp-1076916
ZrAsIr,Ir,Zr,As,mp-1093991
NbCoSn,Co,Nb,Sn,mp-1094088
NaBeSb,Be,Na,Sb,mp-1100391
LiSiB,B,Li,Si,mp-1100392
LiAgSe,Se,Li,Ag,mp-1100393
KBaSb,Sb,K,Ba,mp-1100403
VAsRu,Ru,V,As,mp-1100404
LiCaSb,Sb,Li,Ca,mp-1100409
CaCdSn,Sn,Ca,Cd,mp-1100411
TiTeRu,Ru,Ti,Te,mp-1100412
NaCaSb,Sb,Na,Ca,mp-1100420
LiMgSb,Sb,Li,Mg,mp-1100424
LiCdSb,Sb,Li,Cd,mp-1100425
KSrSb,Sb,K,Sr,mp-1100429
LiZnSb,Zn,Li,Sb,mp-1100430
CaZnSi,Si,Ca,Zn,mp-1100433
LiInSi,Si,Li,In,mp-1100436
PrNiBi,Ni,Pr,Bi,mp-1206667
YBiPt,Pt,Y,Bi,mp-1206679
ScBiPd,Pd,Sc,Bi,mp-1206681
TbNiBi,Ni,Tb,Bi,mp-1206686
ErNiBi,Ni,Er,Bi,mp-1206712
LaBiPd,Pd,La,Bi,mp-1206717
NdNiBi,Ni,Nd,Bi,mp-1206719
PrBiPd,Pd,Pr,Bi,mp-1206720
TmBiPd,Pd,Tm,Bi,mp-1206744
ErBiPd,Pd,Er,Bi,mp-1206953
TbBiPt,Pt,Tb,Bi,mp-1206989
LuBiPt,Pt,Lu,Bi,mp-1206992
TmBiPt,Pt,Tm,Bi,mp-1207057
LiMgSb,Sb,Li,Mg,mp-1207082
TbBiPd,Pd,Tb,Bi,mp-1207177
LuBiPd,Pd,Lu,Bi,mp-1207185
TiSnIr,Ir,Ti,Sn,mp-1216635
DySbPd,Pd,Dy,Sb,mp-1225491
